,DOY,Location,plant_C_ medlyn_W1_fix,photo_medlyn_W1_fix,AR_medlyn_W1_fix,plant_C_new_W1_fix,photo_new_W1_fix,AR_new_W1_fix,plant_C_medlyn_W12_fix,photo_medlyn_W12_fix,AR_medlyn_W12_fix,plant_C_new_W12_fix,photo_new_W12_fix,AR_new_W12_fix,plant_C_ medlyn_W1_var,photo_medlyn_W1_var,AR_medlyn_W1_var,plant_C_ new_W1_var,photo_new_W1_var,AR_new_W1_var,plant_C_ medlyn_W12_var,photo_medlyn_W12_var,AR_medlyn_W12_var,plant_C_ new_W12_var,photo_new_W12_var,AR_new_W12_var
248,Oct_17,London,0.015808961,0.028693299,2.226990501,0.015855996,0.028740335,2.230641101,0.010688061,0.048746148,1.280835488,0.010767969,0.048826055,1.282935101,-0.009793655,0.003090684,0.239879121,-0.009784645,0.003099694,0.240578425,-0.032807421,0.005250666,0.137964527,-0.032792114,0.005265973,0.138366726
249,Oct_18,Albuquerque,0.068678777,0.096552767,3.463901977,0.068683299,0.096557288,3.464064186,0.080975298,0.164030472,1.974957907,0.080982979,0.164038153,1.975050391,0.096095325,0.123969314,4.447490921,0.096121737,0.123995726,4.448438459,0.127552413,0.210607586,2.535755174,0.127597282,0.210652456,2.536295417
250,Oct_18,London,0.022495281,0.035487804,2.731402153,0.022543637,0.03553616,2.735123996,0.02162952,0.060289119,1.559486406,0.021711671,0.060371269,1.561611381,-0.005268926,0.007723596,0.594464728,-0.005254732,0.00773779,0.5955572,-0.025538223,0.013121376,0.339407971,-0.025514109,0.01314549,0.340031714
251,Oct_19,Albuquerque,0.056547129,0.080267798,3.383875811,0.056557939,0.080278608,3.384331508,0.065525943,0.136364449,1.925004589,0.065544307,0.136382813,1.925263824,0.088593908,0.112314577,4.734882337,0.088620082,0.112340751,4.735985769,0.119969212,0.190807718,2.69355932,0.120013678,0.190852184,2.694187035
252,Oct_19,London,0.030121477,0.043411816,3.266419074,0.030160105,0.043450444,3.269325568,0.033928762,0.073750974,1.85200597,0.033994387,0.073816599,1.853653904,0.008677294,0.021967633,1.652902419,0.008694051,0.021984389,1.654163219,-0.002502088,0.037320124,0.937168526,-0.002473621,0.037348591,0.937883379
253,Aug_17,Albuquerque,-0.031743406,0.04026125,0.559147869,-0.031750931,0.040253725,0.559043364,-0.148088594,0.068398576,0.315947482,-0.148101378,0.068385793,0.315888431,-0.022842917,0.049161739,0.682757778,-0.022842718,0.049161938,0.68276054,-0.132967832,0.083519339,0.385793477,-0.132967495,0.083519676,0.385795038
254,Aug_17,London,0.05128374,0.088482583,2.378638004,0.051284983,0.088483827,2.378671438,0.038191731,0.15032029,1.340606636,0.038193844,0.150322403,1.340625479,0.027383267,0.064582111,1.736132207,0.027382859,0.064581703,1.736121236,-0.002412033,0.109716525,0.978488678,-0.002412727,0.109715832,0.978482495
255,Aug_18,Albuquerque,-0.03580008,0.034398695,0.490018449,-0.03581542,0.034383355,0.489799927,-0.153360651,0.058438865,0.275915953,-0.153386712,0.058412805,0.275792908,-0.030836231,0.039362544,0.560729783,-0.030836467,0.039362307,0.560726418,-0.144927723,0.066871793,0.315731566,-0.144928125,0.066871392,0.315729671
256,Aug_18,London,0.058110025,0.094967882,2.576598042,0.05811042,0.094968277,2.576608765,0.05017597,0.16133796,1.451377036,0.050176641,0.161338632,1.451383076,0.029649316,0.066507172,1.804423213,0.029648381,0.066506238,1.804397852,0.001824962,0.112986953,1.016417141,0.001823374,0.112985365,1.016402855
257,Aug_19,Albuquerque,-0.039690709,0.028360257,0.416750245,-0.039695131,0.028355835,0.41668527,-0.156847359,0.048180352,0.234994341,-0.156854871,0.04817284,0.234957703,-0.034047954,0.034003011,0.499669787,-0.034047716,0.03400325,0.499673289,-0.14726106,0.057766651,0.281750458,-0.147260655,0.057767056,0.281752432
